nome,categoria,cidade,estado,data,oficial,fotografos,link
SERRA DOS EUCALIPTOS 2025,Corrida de Rua,Biritiba-Mirim,/ SP,02/08/25,False,3,https://minhasinscricoes.com.br/Evento/SerradosEucaliptos2025
SANTANDER TRACK&FIELD RUN SERIES JK 2,Corrida de Rua,São Paulo,/ SP,03/08/25,False,16,https://www.tfsports.com.br/run-series/jk_ii_25/
PROVA RÚSTICA MORRO SÃO BENTO,Corrida de Rua,Santos,/ SP,03/08/25,False,4,https://www.santos.sp.gov.br/
4ª EDIÇÃO CORRE SÃO JOÃO,Corrida de Rua,São João da Boa Vista,/ SP,03/08/25,True,8,https://www.ticketsports.com.br
CIRCUITO ÁGUAS ABERTAS,Natação,Santos,/ SP,03/08/25,False,0,https://minhasinscricoes.com.br/Evento/CircuitoAguasAbertas20252
KSERIES SPRINT THIATHLON,Triathlon,Caraguatatuba,/ SP,03/08/25,False,0,https://minhasinscricoes.com.br/Evento/KseriesSprintThiathlon
VILA PADRE ANCHIETA - CIRCUITO DE CORRIDAS DOS DISTRITOS,Corrida de Rua,Campinas,/ SP,03/08/25,False,0,https://www.inscrevafacil.com/#/evento/circuitodecorridasdosdistritos2025-padreanchieta
3ª CORRIDA EM HOMENAGEM AO ATLETA BIROLA,Corrida de Rua,Estiva Gerbi,/ SP,03/08/25,False,2,https://www.ticketsports.com.br/e/3-corrida-em-homenagem-ao-atleta-birola-71903
CIRCUITO JARINU RUN ETAPA WINNER FIT,Corrida de Rua,Jarinu,/ SP,03/08/25,True,9,https://www.instagram.com/p/DJVK6BXt2IC/?igsh=bTE4b3g5eDU0enZv
T&F RUNNING ASSIS MENIN,Corrida de Rua,Assis,/ SP,03/08/25,False,9,https://www.tfsports.com.br/tf-experience/running-assis-menin-1/
CIRCUITO ECO RUN,Corrida de Rua,Sorocaba,/ SP,03/08/25,False,0,https://www.ecorun.com.br/sorocaba/
CORRIDA E CAMINHADA FRANCIOSI - 3ª EDIÇÃO,Corrida de Rua,Itapetininga,/ SP,03/08/25,False,0,https://www.blackrun.com.br/eventos/corrida-e-caminhada-franciosi/
1ª CORRIDA CARVALHO RUNNING,Corrida de Rua,Teodoro Sampaio,/ SP,03/08/25,True,1,https://tvcomrunning.com.br/1-corrida-carvalho-running-teodoro-sampaio-sp
RUNFORLIFE - ETAPA RIBEIRÃO PRETO,Corrida de Rua,Ribeirão Preto,/ SP,03/08/25,True,15,https://www.forlifebr.com.br/event-details/runforliferp
1° MASTELLINI E SPORTIME RUN,Corrida de Rua,Presidente  Prudente,/ SP,03/08/25,True,9,https://www.b3eventosesportivos.com.br/
4ª ETAPA - CIRCUITO PAULISTA DE MTB 2025,MTB,Itirapina,/ SP,03/08/25,True,3,https://www.ticketbr.com.br/main.ecm
1ª OAB BARIRI RUNNING,Corrida de Rua,Bariri,/ SP,03/08/25,True,4,https://www.instagram.com/share/BAF2uQ5G6Y
FRESH RUN SUPER MUFFATO 2025 - SÃO JOSÉ DO RIO PRETO,Corrida de Rua,São José do Rio Preto,/ SP,03/08/25,True,0,https://www.ticketsports.com.br/e/fresh-run-super-muffato-2025-sao-jose-do-rio-preto-72548
3ª CORRIDA 5KM E CAMINHADA MUNDO VERDE 2025,Corrida de Rua,Bauru,/ SP,03/08/25,False,13,https://www.instagram.com/p/DLaJPtjsWDY/?igsh=MTU1cXVpbWQycG41dg==
CIRCUITO SPORTSP RUNNERS,Corrida de Rua,Mogi-Guaçu,/ SP,03/08/25,True,11,https://sportsp.com.br/2025/03/17/circuito-sportsp-runner-2025/
2ª CROSS COUNTRY SEST SENAT ARARAQUARA,Cross Country,Araraquara,/ SP,03/08/25,False,0,https://www.ticketsports.com.br/e/2-cross-country-sest-senat-araraquara-73062
CORRIDA E CAMINHADA CAIXA RESIDENCIAL,Corrida de Rua,São Paulo,/ SP,03/08/25,False,15,https://minhasinscricoes.com.br/Evento/CorridaeCaminhadaCaixaResidencial
ARAMAÇAN RUN,Corrida de Rua,Santo André,/ SP,03/08/25,False,8,https://www.inscrevafacil.com/?fbclid=IwZXh0bgNhZW0CMTEAAR6iwrHRwsnTQ0sp8-EzLWVyIjExJ2AAncx-vDbAoJOLxjlW72dkQ0KspKC2bw_aem_MiOU5D5HxAeeCXHX7cVOTg#/eve
CIRCUITO TH5 DE AQUATHLON E TRAVESSIA-ETAPA 3,Aquathlon,Bertioga,/ SP,03/08/25,True,0,https://share.google/OMvKe2QB6UgpyaIZc
LIVE! RUN XP - CAMPINAS - NIGHT RUN,Corrida de Rua,Campinas,/ SP,09/08/25,True,33,https://liverun.com.br/etapa/live-run-campinas-i
CAIEIRAS NIGHT RUN - 7ª EDIÇÃO,Corrida de Rua,Caieiras,/ SP,10/08/25,False,2,https://inscricoes.corridaeaventura.com.br/event/corrida-pedestre/821-caieiras-night-run-7-edicao-2024
SANTANDER TRACK&FIELD RUN SERIES POMPEIA,Corrida de Rua,São Paulo,/ SP,10/08/25,False,10,https://www.tfsports.com.br/run-series/pompeia25/
2ª CORRIDA OAB - AAPA PAULINIA,Corrida de Rua,Paulínia,/ SP,10/08/25,True,15,https://www.corridaderuasuperacao.com.br/evento/2a-corrida-aapa-paulinia/778
